duration_months,event_observed,is_15yr,orig_year,high_ltv,rate_spread,PropertyState_West Coast,PropertyState_South,PropertyState_Others,PropertyState_Northeast,PropertyType_SF,PropertyType_PU,PropertyType_MH,PropertyType_LH,PropertyType_CP,Occupancy_S,Occupancy_O,LoanPurpose_P,LoanPurpose_N,Channel_T,Channel_R,Channel_C,NumBorrowers,OrigLoanTerm,PPM,OrigInterestRate,LTV,OrigUPB,DTI,OCLTV,Units,MIP,FirstTimeHomebuyer,CreditScore
17,0,0,1999,1,0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.0,97.0,187000,37.0,97,1,30,0,670.5336708312466
156,0,0,1999,0,0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.0,80.0,60000,17.0,80,1,0,0,670.5336708312466
29,1,0,1999,0,-0.25,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,360.0,0,6.625,75.0,194000,37.0,75,1,0,0,670.5336708312466
23,1,0,1999,1,0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.0,95.0,147000,37.0,95,1,30,0,670.5336708312466
33,1,0,1999,0,0.375,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,7.25,52.0,104000,23.0,52,1,0,0,670.5336708312466
43,0,0,1999,1,0.375,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.25,95.0,72000,28.0,95,1,30,0,670.5336708312466
50,0,0,1999,1,0.5,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,7.375,95.0,183000,33.0,95,1,30,0,670.5336708312466
39,1,0,1999,0,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.875,80.0,154000,32.0,80,1,0,0,670.5336708312466
48,0,0,1999,0,-0.375,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.5,80.0,150000,39.0,80,1,0,0,670.5336708312466
68,0,0,1999,1,0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,7.0,95.0,179000,27.0,95,1,30,0,670.5336708312466
118,0,0,1999,0,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,78.0,70000,29.0,78,1,0,0,670.5336708312466
205,1,0,1999,1,0.75,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.625,89.0,66000,30.0,89,1,25,0,670.5336708312466
211,0,0,1999,0,-0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.75,80.0,72000,25.0,80,1,0,0,670.5336708312466
53,0,0,1999,0,-0.375,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.5,80.0,126000,32.0,80,1,0,0,670.5336708312466
19,0,0,1999,0,-0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.75,46.0,80000,8.0,46,1,0,0,670.5336708312466
57,0,0,1999,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.875,58.0,72000,37.0,58,1,0,0,670.5336708312466
22,0,0,1999,0,-0.125,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.75,63.0,210000,30.0,63,1,0,0,670.5336708312466
38,0,0,1999,0,0.25,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.125,69.0,51000,27.0,69,1,0,0,670.5336708312466
159,0,0,1999,0,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,72.0,100000,44.0,72,1,0,0,670.5336708312466
81,1,0,1999,0,0.375,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.25,75.0,46000,55.0,75,1,0,0,670.5336708312466
15,0,0,1999,0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,6.875,77.0,96000,20.0,77,1,0,0,670.5336708312466
55,0,0,1999,0,-0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,78.0,225000,34.0,78,1,0,0,670.5336708312466
49,0,0,1999,0,-0.375,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.5,79.0,156000,20.0,79,1,0,0,670.5336708312466
191,1,0,1999,0,0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.0,80.0,45000,33.44383617766727,80,1,0,0,670.5336708312466
29,1,0,1999,0,0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.0,80.0,65000,37.0,80,1,0,0,670.5336708312466
45,1,0,1999,0,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,80.0,83000,39.0,80,1,0,0,670.5336708312466
53,1,0,1999,0,-0.125,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,360.0,0,6.75,80.0,235000,43.0,80,1,0,0,670.5336708312466
194,0,0,1999,1,-0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,83.0,113000,38.0,83,1,12,0,670.5336708312466
48,0,0,1999,1,0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.0,85.0,139000,15.0,85,2,12,0,670.5336708312466
64,0,0,1999,1,0.22499999999999964,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,7.1,87.0,74000,28.0,87,1,25,0,670.5336708312466
31,0,0,1999,1,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,6.875,90.0,68000,15.0,90,1,25,0,670.5336708312466
54,1,0,1999,1,-0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.75,90.0,69000,16.0,90,1,25,0,670.5336708312466
46,0,0,1999,1,-0.125,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.75,90.0,118000,21.0,90,1,25,0,670.5336708312466
